kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
gaussian.1.sm_80.ptx 94 : 3840 23040 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 95 : 3840 9600 0 0 0 0 0 0 48 
gaussian.1.sm_80.ptx 97 : 1920 9600 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 98 : 1920 9600 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 99 : 1920 9600 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 100 : 1920 19200 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 101 : 1920 17280 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 102 : 1920 11520 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 103 : 1920 2800 0 0 0 0 0 0 26 
gaussian.1.sm_80.ptx 105 : 1360 8160 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 106 : 1360 12240 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 119 : 1360 12240 0 0 0 0 0 0 0 
