kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
gaussian.1.sm_80.ptx 91 : 8955648 113375584 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 92 : 8955648 108623104 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 93 : 8955648 115755792 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 94 : 8955648 77550880 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 95 : 8955648 37364548 0 0 0 0 0 0 8112 
gaussian.1.sm_80.ptx 97 : 4477824 39682148 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 98 : 4477824 39543572 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 99 : 4477824 38578344 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 100 : 4477824 57505928 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 101 : 4477824 53124812 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 102 : 4477824 38949016 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 103 : 4477824 10048748 0 0 0 0 0 0 4082 
gaussian.1.sm_80.ptx 105 : 2999568 28195828 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 106 : 2999568 36496072 0 0 0 0 0 0 0 
gaussian.1.sm_80.ptx 119 : 2999568 27001164 0 0 0 0 0 0 0 
